tid,tournament_name,family,tournament_year,final_count,has_timestamps,ts_count,first_reg,last_reg,is_covid,is_online,snapshot_last_reg,early_bird_spike,spike_day,spike_magnitude,roster_pending
1244,2017 Pittsburgh Open,Pittsburgh Open,2017.0,113,False,0,,,False,False,,False,,,False
1245,2017 Bradley Open,Bradley Open,2017.0,204,False,0,,,False,False,,False,,,False
1246,2017 Southern Open,Southern Open,2017.0,211,False,0,,,False,False,,False,,,False
1247,2017 Peter Henner Memorial,Peter Henner Memorial,2017.0,92,False,0,,,False,False,,False,,,False
1251,2017 Manhattan Open,Manhattan Open,2017.0,419,False,0,,,False,False,,False,,,False
1252,2017 Cleveland Open,Cleveland Open,2017.0,185,False,0,,,False,False,,False,,,False
1262,2018 Central California Open,Central California Open,2018.0,128,False,0,,,False,False,,False,,,False
1263,2018 Atlantic Open,Atlantic Open,2018.0,299,False,0,,,False,False,,False,,,False
1270,2018 Washington Chess Congress,Washington Chess Congress,2018.0,235,False,0,,,False,False,,False,,,False
1271,2018 Indianapolis Open,Indianapolis Open,2018.0,191,False,0,,,False,False,,False,,,False
1295,2018 New York State Championship,New York State Championship,2018.0,188,False,0,,,False,False,,False,,,False
1313,2018 Hartford Open,Hartford Open,2018.0,122,False,0,,,False,False,,False,,,False
1314,2018 Midwest Class Championships,Midwest Class Championships,2018.0,328,False,0,,,False,False,,False,,,False
1316,2018 North American Open,North American Open,2018.0,822,False,0,,,False,False,,False,,,False
1344,2018 Eastern Chess Congress,Eastern Chess Congress,2018.0,316,False,0,,,False,False,,False,,,False
1345,2018 Los Angeles Open,Los Angeles Open,2018.0,252,False,0,,,False,False,,False,,,False
1346,2018 Central New York Open,Central New York Open,2018.0,45,False,0,,,False,False,,False,,,False
1368,2018 Kings Island Open,Kings Island Open,2018.0,251,False,0,,,False,False,,False,,,False
1374,2018 Stamford Open,Stamford Open,2018.0,136,False,0,,,False,False,,False,,,False
1375,2018 National Chess Congress,National Chess Congress,2018.0,523,False,0,,,False,False,,False,,,False
1376,2018 Empire City Open,Empire City Open,2018.0,298,False,0,,,False,False,,False,,,False
1388,2019 Boston Chess Congress,Boston Chess Congress,2019.0,270,False,0,,,False,False,,False,,,False
1389,2019 Golden State Open,Golden State Open,2019.0,273,False,0,,,False,False,,False,,,False
1390,2019 Liberty Bell Open,Liberty Bell Open,2019.0,287,False,0,,,False,False,,False,,,False
1391,2019 Southwest Class,Southwest Class,2019.0,385,False,0,,,False,False,,False,,,False
1392,2019 George Washington Open,George Washington Open,2019.0,253,False,0,,,False,False,,False,,,False
1393,2019 Western Class Championships,Western Class Championships,2019.0,253,False,0,,,False,False,,False,,,False
1394,2019 New York State Scholastic Championships,New York State Scholastic Championships,2019.0,1249,False,0,,,False,False,,False,,,False
1396,2019 Open at Foxwoods,Open at Foxwoods,2019.0,415,False,0,,,False,False,,False,,,False
1409,2019 Southern Class Championships,Southern Class Championships,2019.0,196,False,0,,,False,False,,False,,,False
1414,2019 Mid-America Open,Mid-America Open,2019.0,320,False,0,,,False,False,,False,,,False
1423,2019 Eastern Class Championships,Eastern Class Championships,2019.0,220,False,0,,,False,False,,False,,,False
1425,2019 Chicago Open,Chicago Open,2019.0,843,False,0,,,False,False,,False,,,False
1441,2019 Philadelphia International,Philadelphia International,2019.0,147,False,0,,,False,False,,False,,,False
1442,2019 World Open,World Open,2019.0,1269,False,0,,,False,False,,False,,,False
