tid,T,daily_regs,cum_regs,cum_pct
3877,1,1,10,0.6666666666666666
3877,0,5,15,1.0
3900,100,1,1,0.015151515151515152
3900,90,1,2,0.030303030303030304
3900,79,1,3,0.045454545454545456
3900,70,1,4,0.06060606060606061
3900,60,3,7,0.10606060606060606
3900,47,1,8,0.12121212121212122
3900,25,1,9,0.13636363636363635
3900,11,3,12,0.18181818181818182
3900,8,2,14,0.21212121212121213
3900,7,1,15,0.22727272727272727
3900,6,1,16,0.24242424242424243
3900,5,3,19,0.2878787878787879
3900,3,4,23,0.3484848484848485
3900,2,3,26,0.3939393939393939
3900,1,10,36,0.5454545454545454
3900,0,30,66,1.0
3901,104,1,1,0.01098901098901099
3901,94,1,2,0.02197802197802198
3901,26,1,3,0.03296703296703297
3901,14,1,4,0.04395604395604396
3901,8,1,5,0.054945054945054944
3901,6,1,6,0.06593406593406594
3901,5,1,7,0.07692307692307693
3901,4,1,8,0.08791208791208792
3901,3,1,9,0.0989010989010989
3901,2,4,13,0.14285714285714285
3901,1,13,26,0.2857142857142857
3901,0,65,91,1.0
3902,105,1,1,0.005128205128205128
3902,95,1,2,0.010256410256410256
3902,91,1,3,0.015384615384615385
3902,83,1,4,0.020512820512820513
3902,59,1,5,0.02564102564102564
3902,58,1,6,0.03076923076923077
3902,43,1,7,0.035897435897435895
3902,39,1,8,0.041025641025641026
3902,30,1,9,0.046153846153846156
3902,25,1,10,0.05128205128205128
3902,20,1,11,0.05641025641025641
3902,19,1,12,0.06153846153846154
3902,16,1,13,0.06666666666666667
3902,14,1,14,0.07179487179487179
3902,11,1,15,0.07692307692307693
3902,10,1,16,0.08205128205128205
3902,7,1,17,0.08717948717948718
3902,6,5,22,0.11282051282051282
3902,5,4,26,0.13333333333333333
3902,4,2,28,0.14358974358974358
3902,3,1,29,0.14871794871794872
3902,2,10,39,0.2
3902,1,36,75,0.38461538461538464
3902,0,120,195,1.0
3903,111,1,1,0.00558659217877095
3903,104,1,2,0.0111731843575419
3903,93,1,3,0.01675977653631285
3903,92,1,4,0.0223463687150838
3903,73,1,5,0.027932960893854747
3903,71,1,6,0.0335195530726257
3903,66,1,7,0.03910614525139665
3903,61,1,8,0.0446927374301676
3903,60,1,9,0.05027932960893855
3903,56,1,10,0.055865921787709494
3903,55,1,11,0.061452513966480445
3903,45,1,12,0.0670391061452514
3903,43,1,13,0.07262569832402235
3903,40,1,14,0.0782122905027933
3903,39,1,15,0.08379888268156424
3903,34,2,17,0.09497206703910614
3903,33,1,18,0.1005586592178771
3903,31,1,19,0.10614525139664804
3903,27,1,20,0.11173184357541899
3903,26,2,22,0.12290502793296089
3903,24,1,23,0.12849162011173185
3903,21,2,25,0.13966480446927373
3903,20,5,30,0.16759776536312848
3903,18,3,33,0.18435754189944134
3903,17,3,36,0.2011173184357542
3903,16,1,37,0.20670391061452514
3903,15,4,41,0.22905027932960895
3903,14,3,44,0.24581005586592178
3903,13,1,45,0.25139664804469275
3903,12,7,52,0.2905027932960894
3903,11,4,56,0.3128491620111732
3903,10,8,64,0.3575418994413408
3903,9,12,76,0.4245810055865922
3903,8,2,78,0.43575418994413406
3903,7,10,88,0.49162011173184356
3903,6,15,103,0.5754189944134078
3903,5,10,113,0.6312849162011173
3903,4,19,132,0.7374301675977654
3903,3,24,156,0.8715083798882681
3903,2,9,165,0.9217877094972067
3903,1,5,170,0.9497206703910615
3903,0,9,179,1.0
3904,96,1,1,0.0053475935828877
3904,68,1,2,0.0106951871657754
3904,60,1,3,0.016042780748663103
3904,58,2,5,0.026737967914438502
3904,51,1,6,0.03208556149732621
3904,45,1,7,0.0374331550802139
3904,42,1,8,0.0427807486631016
3904,40,1,9,0.0481283422459893
3904,39,1,10,0.053475935828877004
3904,38,2,12,0.06417112299465241
3904,34,1,13,0.06951871657754011
3904,32,3,16,0.0855614973262032
3904,30,3,19,0.10160427807486631
3904,27,1,20,0.10695187165775401
3904,26,1,21,0.11229946524064172
3904,25,1,22,0.11764705882352941
3904,23,2,24,0.12834224598930483
3904,22,2,26,0.13903743315508021
3904,21,2,28,0.1497326203208556
3904,20,1,29,0.15508021390374332
3904,19,1,30,0.16042780748663102
3904,18,2,32,0.1711229946524064
3904,17,2,34,0.18181818181818182
3904,16,1,35,0.18716577540106952
3904,15,6,41,0.2192513368983957
3904,14,1,42,0.22459893048128343
3904,13,5,47,0.25133689839572193
3904,12,5,52,0.27807486631016043
3904,11,2,54,0.2887700534759358
3904,10,3,57,0.3048128342245989
3904,9,8,65,0.34759358288770054
3904,8,6,71,0.37967914438502676
3904,7,8,79,0.42245989304812837
3904,6,9,88,0.47058823529411764
3904,5,16,104,0.5561497326203209
3904,4,22,126,0.6737967914438503
3904,3,40,166,0.8877005347593583
3904,2,9,175,0.9358288770053476
3904,1,2,177,0.946524064171123
3904,0,10,187,1.0
3906,95,1,1,0.012048192771084338
3906,74,1,2,0.024096385542168676
3906,43,1,3,0.03614457831325301
3906,41,2,5,0.060240963855421686
3906,40,2,7,0.08433734939759036
3906,37,2,9,0.10843373493975904
3906,36,1,10,0.12048192771084337
3906,33,1,11,0.13253012048192772
3906,32,2,13,0.1566265060240964
3906,30,2,15,0.18072289156626506
3906,28,1,16,0.1927710843373494
3906,25,1,17,0.20481927710843373
3906,24,2,19,0.2289156626506024
3906,23,1,20,0.24096385542168675
3906,22,1,21,0.25301204819277107
3906,21,3,24,0.2891566265060241
3906,17,1,25,0.30120481927710846
3906,16,2,27,0.3253012048192771
3906,15,1,28,0.3373493975903614
3906,13,1,29,0.3493975903614458
3906,11,1,30,0.3614457831325301
3906,10,1,31,0.37349397590361444
3906,9,1,32,0.3855421686746988
3906,8,2,34,0.40963855421686746
3906,7,3,37,0.4457831325301205
3906,6,1,38,0.4578313253012048
3906,5,1,39,0.46987951807228917
3906,4,8,47,0.5662650602409639
3906,3,7,54,0.6506024096385542
3906,2,5,59,0.7108433734939759
3906,1,15,74,0.891566265060241
3906,0,9,83,1.0
3915,67,2,2,0.016666666666666666
3915,57,1,3,0.025
3915,53,3,6,0.05
3915,50,1,7,0.058333333333333334
3915,49,1,8,0.06666666666666667
3915,40,1,9,0.075
3915,37,1,10,0.08333333333333333
3915,29,1,11,0.09166666666666666
3915,28,1,12,0.1
3915,25,2,14,0.11666666666666667
3915,17,1,15,0.125
3915,16,1,16,0.13333333333333333
3915,14,1,17,0.14166666666666666
3915,13,1,18,0.15
3915,12,1,19,0.15833333333333333
3915,10,1,20,0.16666666666666666
3915,9,1,21,0.175
3915,7,2,23,0.19166666666666668
3915,6,2,25,0.20833333333333334
3915,5,1,26,0.21666666666666667
3915,4,4,30,0.25
3915,3,3,33,0.275
3915,1,4,37,0.30833333333333335
3915,0,83,120,1.0
3973,158,1,1,0.0032679738562091504
3973,121,2,3,0.00980392156862745
3973,99,1,4,0.013071895424836602
3973,94,1,5,0.016339869281045753
3973,68,1,6,0.0196078431372549
3973,50,1,7,0.02287581699346405
3973,48,1,8,0.026143790849673203
3973,46,1,9,0.029411764705882353
3973,44,1,10,0.032679738562091505
3973,43,1,11,0.03594771241830065
3973,42,2,13,0.042483660130718956
3973,40,2,15,0.049019607843137254
3973,39,1,16,0.05228758169934641
3973,37,4,20,0.06535947712418301
3973,35,2,22,0.0718954248366013
3973,33,6,28,0.0915032679738562
3973,32,5,33,0.10784313725490197
3973,31,3,36,0.11764705882352941
3973,30,3,39,0.12745098039215685
3973,29,1,40,0.13071895424836602
3973,27,2,42,0.13725490196078433
3973,26,7,49,0.16013071895424835
3973,25,4,53,0.17320261437908496
3973,24,2,55,0.17973856209150327
3973,23,3,58,0.1895424836601307
3973,22,1,59,0.19281045751633988
3973,21,2,61,0.19934640522875818
3973,20,4,65,0.21241830065359477
3973,19,1,66,0.21568627450980393
3973,18,4,70,0.22875816993464052
3973,17,5,75,0.24509803921568626
3973,16,2,77,0.25163398692810457
3973,15,5,82,0.2679738562091503
3973,14,2,84,0.27450980392156865
3973,13,5,89,0.2908496732026144
3973,12,10,99,0.3235294117647059
3973,11,2,101,0.3300653594771242
3973,10,9,110,0.35947712418300654
3973,9,7,117,0.38235294117647056
3973,8,11,128,0.41830065359477125
3973,7,12,140,0.45751633986928103
3973,6,11,151,0.4934640522875817
3973,5,26,177,0.5784313725490197
3973,4,24,201,0.6568627450980392
3973,3,43,244,0.7973856209150327
3973,2,6,250,0.8169934640522876
3973,1,20,270,0.8823529411764706
3973,0,36,306,1.0
3974,104,1,1,0.005291005291005291
3974,102,1,2,0.010582010582010581
3974,83,1,3,0.015873015873015872
3974,74,1,4,0.021164021164021163
3974,64,1,5,0.026455026455026454
3974,55,1,6,0.031746031746031744
3974,53,1,7,0.037037037037037035
3974,51,1,8,0.042328042328042326
3974,38,1,9,0.047619047619047616
3974,35,1,10,0.05291005291005291
3974,34,2,12,0.06349206349206349
3974,33,1,13,0.06878306878306878
3974,32,2,15,0.07936507936507936
3974,31,1,16,0.08465608465608465
3974,29,2,18,0.09523809523809523
3974,28,1,19,0.10052910052910052
3974,27,3,22,0.1164021164021164
3974,26,1,23,0.12169312169312169
3974,25,4,27,0.14285714285714285
3974,24,1,28,0.14814814814814814
3974,23,1,29,0.15343915343915343
3974,21,1,30,0.15873015873015872
3974,19,3,33,0.1746031746031746
3974,18,1,34,0.17989417989417988
3974,17,2,36,0.19047619047619047
3974,16,1,37,0.19576719576719576
3974,15,1,38,0.20105820105820105
3974,14,1,39,0.20634920634920634
3974,13,2,41,0.21693121693121692
3974,12,1,42,0.2222222222222222
3974,11,5,47,0.24867724867724866
3974,10,5,52,0.2751322751322751
3974,9,6,58,0.30687830687830686
3974,8,6,64,0.3386243386243386
3974,7,9,73,0.3862433862433862
3974,6,5,78,0.4126984126984127
3974,5,21,99,0.5238095238095238
3974,4,12,111,0.5873015873015873
3974,3,35,146,0.7724867724867724
3974,2,14,160,0.8465608465608465
3974,1,9,169,0.8941798941798942
3974,0,20,189,1.0
4006,121,2,2,0.004106776180698152
